State Name,District Name,Market Name,Variety,Reported Date,Modal Price (Rs./Quintal),future_modal_price,random_forest_prediction,xgboost_prediction,baseline_error,random_forest_error,xgboost_error,baseline_abs_error,random_forest_abs_error,xgboost_abs_error,actual_price_change,actual_price_change_pct
Kerala,Malappuram,Thirurrangadi,Other,2013-08-08,13000,11000.0,12769.666666666666,12863.307,-2000.0,-1769.666666666666,-1863.306640625,2000.0,1769.666666666666,1863.306640625,-2000.0,-15.384615384615385
Kerala,Malappuram,Parappanangadi,Other,2013-08-08,13000,13000.0,12882.0,12835.444,0.0,118.0,164.5556640625,0.0,118.0,164.5556640625,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-08-08,26000,26000.0,25966.666666666668,25946.246,0.0,33.33333333333212,53.75390625,0.0,33.33333333333212,53.75390625,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-08-09,11000,13000.0,12212.0,12206.848,2000.0,788.0,793.15234375,2000.0,788.0,793.15234375,2000.0,18.181818181818183
Jharkhand,Dhanbad,Dhanbad,Other,2013-08-09,23000,23000.0,23006.666666666668,23002.447,0.0,-6.666666666667879,-2.447265625,0.0,6.666666666667879,2.447265625,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-09,13000,13000.0,12836.333333333334,12938.595,0.0,163.66666666666606,61.4052734375,0.0,163.66666666666606,61.4052734375,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-08-10,15500,15500.0,15500.0,15488.004,0.0,0.0,11.99609375,0.0,0.0,11.99609375,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-08-10,26000,26000.0,25966.666666666668,25960.629,0.0,33.33333333333212,39.37109375,0.0,33.33333333333212,39.37109375,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-10,13000,12000.0,12807.666666666666,12823.929,-1000.0,-807.6666666666661,-823.9287109375,1000.0,807.6666666666661,823.9287109375,-1000.0,-7.6923076923076925
Kerala,Malappuram,Thirurrangadi,Other,2013-08-10,13000,13000.0,12424.833333333334,12611.512,0.0,575.1666666666661,388.48828125,0.0,575.1666666666661,388.48828125,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-08-11,23000,23000.0,23043.333333333332,23098.227,0.0,-43.33333333333212,-98.2265625,0.0,43.33333333333212,98.2265625,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-08-12,15500,15500.0,15500.0,15501.249,0.0,0.0,-1.2490234375,0.0,0.0,1.2490234375,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-08-12,26000,26000.0,25946.666666666668,25984.066,0.0,53.33333333333212,15.93359375,0.0,53.33333333333212,15.93359375,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-12,12000,13000.0,12611.333333333334,12629.38,1000.0,388.66666666666606,370.6201171875,1000.0,388.66666666666606,370.6201171875,1000.0,8.333333333333332
Kerala,Malappuram,Thirurrangadi,Other,2013-08-13,13000,13000.0,12600.5,12790.931,0.0,399.5,209.0693359375,0.0,399.5,209.0693359375,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-08-13,23000,23000.0,23016.666666666668,23015.752,0.0,-16.66666666666788,-15.751953125,0.0,16.66666666666788,15.751953125,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-13,13000,13000.0,12773.833333333334,12728.631,0.0,226.16666666666606,271.369140625,0.0,226.16666666666606,271.369140625,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-08-13,15500,15500.0,15500.0,15500.197,0.0,0.0,-0.197265625,0.0,0.0,0.197265625,0.0,0.0
