Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_14,year,day,month,day_of_week,week_of_year,arrival_lag_1,arrival_lag_7,arrival_change,arrival_rolling_mean_7,arrival_rolling_mean_14,arrival_pct_change,volatility
0.02,8000,12000,10000,12000.0,12000.0,12000.0,10000.0,12285.714285714286,12142.857142857143,12000.0,755.9289460184549,534.5224838248479,2002,18,5,5,20,0.02,3.7,0.0,1.752857142857143,2.540714285714285,0.0,HIGH
0.02,5500,8000,7000,6000.0,6000.0,8000.0,8000.0,6285.714285714285,6785.714285714285,7066.666666666667,755.9289460184531,892.5823753039812,2002,18,5,5,20,0.02,3.7,0.0,1.752857142857143,2.540714285714285,0.0,HIGH
0.02,8000,11000,10000,7000.0,8000.0,7000.0,8000.0,6428.571428571428,6714.285714285715,7033.333333333333,786.7957924694424,825.4203058555572,2002,27,5,0,22,0.02,3.0,0.0,1.227142857142857,2.270714285714285,0.0,HIGH
0.02,10000,14000,12000,10000.0,12000.0,12000.0,10000.0,12000.0,12000.0,12000.0,1154.7005383792518,784.464540552736,2002,27,5,0,22,0.02,3.0,0.0,1.227142857142857,2.270714285714285,0.0,HIGH
0.01,10000,14000,12000,12000.0,14000.0,12000.0,10000.0,12000.0,12000.0,12066.666666666666,1154.7005383792518,784.464540552736,2002,28,5,1,22,0.02,2.0,-0.01,0.8014285714285715,2.057857142857143,-50.0,LOW
0.01,7000,11000,10000,10000.0,6000.0,7000.0,8000.0,6714.285714285715,6928.571428571428,7100.0,1496.0264830861915,1206.666464290757,2002,28,5,1,22,0.02,2.0,-0.01,0.8014285714285715,2.057857142857143,-50.0,LOW
0.02,6000,10000,9000,10000.0,6000.0,8000.0,7000.0,7285.714285714285,7142.857142857143,7166.666666666667,1889.8223650461373,1460.091823094744,2002,29,5,2,22,0.01,3.5,0.01,0.5171428571428571,1.8442857142857143,100.0,HIGH
0.02,10000,14000,12000,12000.0,12000.0,12000.0,14000.0,11714.285714285714,12000.0,12133.333333333334,755.9289460184549,784.464540552736,2002,29,5,2,22,0.01,3.5,0.01,0.5171428571428571,1.8442857142857143,100.0,LOW
0.02,10000,14000,12000,12000.0,12000.0,12000.0,12000.0,11714.285714285714,12000.0,12066.666666666666,755.9289460184549,784.464540552736,2002,31,5,4,22,0.02,0.02,0.0,0.02,1.56,0.0,LOW
0.02,7000,11000,10000,9000.0,6000.0,8000.0,7000.0,7714.285714285715,7214.285714285715,7233.333333333333,1889.8223650461384,1528.124613755317,2002,31,5,4,22,0.02,0.02,0.0,0.02,1.56,0.0,HIGH
0.04,6000,11000,10000,10000.0,6000.0,7000.0,7000.0,8285.714285714286,7357.142857142857,7333.333333333333,1889.82236504614,1691.9330254585625,2002,1,6,5,22,0.02,0.03,0.02,0.0199999999999999,1.397142857142857,100.0,LOW
0.04,10000,14000,12000,12000.0,12000.0,12000.0,14000.0,11714.285714285714,12000.0,12066.666666666666,755.9289460184549,784.464540552736,2002,1,6,5,22,0.02,0.03,0.02,0.0199999999999999,1.397142857142857,100.0,LOW
0.02,6000,11000,10000,10000.0,6000.0,6000.0,6000.0,8857.142857142857,7571.428571428572,7433.333333333333,1676.1634196950567,1827.747066926752,2002,3,6,0,23,0.04,0.02,-0.02,0.0214285714285714,1.15,-50.0,LOW
0.02,10000,14000,12000,12000.0,12000.0,12000.0,12000.0,11714.285714285714,12000.0,12000.0,755.9289460184549,784.464540552736,2002,3,6,0,23,0.04,0.02,-0.02,0.0214285714285714,1.15,-50.0,LOW
0.03,7000,11000,10000,10000.0,7000.0,6000.0,6000.0,9428.57142857143,7857.142857142857,7566.666666666667,1133.8934190276918,1875.228923753982,2002,4,6,1,23,0.02,0.02,0.0099999999999999,0.0214285714285714,0.8871428571428571,49.99999999999999,LOW
0.03,10000,14000,12000,12000.0,10000.0,12000.0,12000.0,11714.285714285714,12000.0,12000.0,755.9289460184549,784.464540552736,2002,4,6,1,23,0.02,0.02,0.0099999999999999,0.0214285714285714,0.8871428571428571,49.99999999999999,LOW
0.03,10000,14000,12000,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,0.0,784.464540552736,2002,5,6,2,23,0.03,0.02,0.0,0.0228571428571428,0.625,0.0,LOW
0.03,7000,11000,10000,10000.0,10000.0,8000.0,8000.0,9857.142857142857,8142.857142857143,7700.0,377.9644730092636,1875.228923753982,2002,5,6,2,23,0.03,0.02,0.0,0.0228571428571428,0.625,0.0,LOW
0.02,6000,11000,10000,10000.0,10000.0,6000.0,7000.0,9857.142857142857,8285.714285714286,7766.666666666667,377.9644730092636,1938.6185179765928,2002,6,6,3,23,0.03,0.01,-0.0099999999999999,0.0242857142857142,0.4128571428571428,-33.33333333333333,LOW
0.02,10000,14000,12000,12000.0,12000.0,14000.0,12000.0,12000.0,12000.0,12000.0,0.0,784.464540552736,2002,6,6,3,23,0.03,0.01,-0.0099999999999999,0.0242857142857142,0.4128571428571428,-33.33333333333333,LOW
0.03,6000,11000,10000,10000.0,9000.0,6000.0,7000.0,9857.142857142857,8571.42857142857,7866.666666666667,377.9644730092636,1869.3596482500352,2002,7,6,4,23,0.02,0.02,0.0099999999999999,0.0257142857142857,0.2714285714285714,49.99999999999999,LOW
0.03,10000,14000,12000,12000.0,12000.0,12000.0,12000.0,12000.0,11857.142857142857,12000.0,0.0,534.522483824849,2002,7,6,4,23,0.02,0.02,0.0099999999999999,0.0257142857142857,0.2714285714285714,49.99999999999999,LOW
0.02,9000,14000,12000,12000.0,12000.0,12000.0,12000.0,12000.0,11857.142857142857,12000.0,0.0,534.522483824849,2002,10,6,0,24,0.03,0.02,-0.0099999999999999,0.0271428571428571,0.0235714285714285,-33.33333333333333,LOW
0.02,4000,10000,8000,10000.0,10000.0,6000.0,6000.0,10000.0,8857.142857142857,7966.666666666667,0.0,1747.8401113789143,2002,10,6,0,24,0.03,0.02,-0.0099999999999999,0.0271428571428571,0.0235714285714285,-33.33333333333333,HIGH
0.03,5000,9000,8000,8000.0,10000.0,6000.0,8000.0,9714.285714285714,9000.0,8033.333333333333,755.9289460184722,1568.9290811054725,2002,11,6,1,24,0.02,0.04,0.0099999999999999,0.0271428571428571,0.0235714285714285,49.99999999999999,LOW
0.03,7500,10000,9000,12000.0,12000.0,12000.0,12000.0,12000.0,11857.142857142857,12000.0,0.0,534.522483824849,2002,11,6,1,24,0.02,0.04,0.0099999999999999,0.0271428571428571,0.0235714285714285,49.99999999999999,HIGH
0.03,7500,10000,9000,9000.0,12000.0,12000.0,12000.0,11571.42857142857,11642.857142857143,11900.0,1133.8934190276818,928.7827316640656,2002,12,6,2,24,0.03,0.02,0.0,0.0257142857142857,0.0235714285714285,0.0,LOW
0.03,5000,9000,8000,8000.0,10000.0,6000.0,8000.0,9428.57142857143,9142.857142857143,8033.333333333333,975.900072948546,1350.6205330054129,2002,12,6,2,24,0.03,0.02,0.0,0.0257142857142857,0.0235714285714285,0.0,LOW
0.01,8000,12000,10000,9000.0,12000.0,10000.0,12000.0,11142.857142857143,11428.57142857143,11800.0,1463.8501094228,1157.8684470436797,2002,13,6,3,24,0.03,0.03,-0.0199999999999999,0.0271428571428571,0.0242857142857142,-66.66666666666666,HIGH
0.01,5000,10000,8000,8000.0,10000.0,7000.0,8000.0,9142.857142857143,9285.714285714286,8033.333333333333,1069.0449676497085,1069.0449676496978,2002,13,6,3,24,0.03,0.03,-0.0199999999999999,0.0271428571428571,0.0242857142857142,-66.66666666666666,LOW
