State Name,District Name,Market Name,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,Price_Spread,Price_Ratio
Tripura,Sepahijala,Bishalgarh,Beverages,1.5,7800,12000,10000,2002-02-14,2002,2,14,3,7,1,4200,1.2820512820512822
Tripura,Sepahijala,Bishalgarh,Beverages,1.5,6000,9000,8000,2002-02-14,2002,2,14,3,7,1,3000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,2.5,5000,10000,8000,2002-02-15,2002,2,15,4,7,1,5000,1.6
Tripura,Sepahijala,Bishalgarh,Beverages,2.5,7000,12000,10000,2002-02-15,2002,2,15,4,7,1,5000,1.4285714285714286
Tripura,Sepahijala,Bishalgarh,Beverages,2.5,7000,12000,10000,2002-02-25,2002,2,25,0,9,1,5000,1.4285714285714286
Tripura,Sepahijala,Bishalgarh,Beverages,2.5,5000,10000,8000,2002-02-25,2002,2,25,0,9,1,5000,1.6
Tripura,Sepahijala,Bishalgarh,Beverages,3.7,12000,16000,14000,2002-02-26,2002,2,26,1,9,1,4000,1.1666666666666667
Tripura,Sepahijala,Bishalgarh,Beverages,3.7,6000,8000,7000,2002-02-26,2002,2,26,1,9,1,2000,1.1666666666666667
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,10000,14000,12000,2002-02-27,2002,2,27,2,9,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,6000,8000,7000,2002-02-27,2002,2,27,2,9,1,2000,1.1666666666666667
Tripura,Sepahijala,Bishalgarh,Beverages,3.6,6000,8000,7000,2002-02-28,2002,2,28,3,9,1,2000,1.1666666666666667
Tripura,Sepahijala,Bishalgarh,Beverages,3.6,12000,16000,14000,2002-02-28,2002,2,28,3,9,1,4000,1.1666666666666667
Tripura,Sepahijala,Bishalgarh,Beverages,4.0,9000,13000,12000,2002-03-02,2002,3,2,5,9,1,4000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,4.0,4500,8000,6000,2002-03-02,2002,3,2,5,9,1,3500,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,5.0,5000,8000,6000,2002-03-04,2002,3,4,0,10,1,3000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,5.0,6000,9000,8000,2002-03-06,2002,3,6,2,10,1,3000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,4.0,10000,14000,12000,2002-03-07,2002,3,7,3,10,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,4.0,6000,8000,7000,2002-03-07,2002,3,7,3,10,1,2000,1.1666666666666667
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,6000,8000,7000,2002-03-08,2002,3,8,4,10,1,2000,1.1666666666666667
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,9000,14000,12000,2002-03-08,2002,3,8,4,10,1,5000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,5000,8000,6000,2002-03-11,2002,3,11,0,11,1,3000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,10100,14000,12000,2002-03-11,2002,3,11,0,11,1,3900,1.188118811881188
Tripura,Sepahijala,Bishalgarh,Beverages,2.7,6000,9000,8000,2002-03-13,2002,3,13,2,11,1,3000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,2.7,10000,14000,12000,2002-03-13,2002,3,13,2,11,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,6000,9000,8000,2002-03-14,2002,3,14,3,11,1,3000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,10000,14000,12000,2002-03-14,2002,3,14,3,11,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,2.8,10000,14000,12000,2002-03-15,2002,3,15,4,11,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,2.8,6000,9000,8000,2002-03-15,2002,3,15,4,11,1,3000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,6000,9000,8000,2002-03-16,2002,3,16,5,11,1,3000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,10000,14000,12000,2002-03-16,2002,3,16,5,11,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.8,6000,9000,8000,2002-03-17,2002,3,17,6,11,1,3000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,3.8,10000,14000,12000,2002-03-17,2002,3,17,6,11,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,5000,8000,7000,2002-03-19,2002,3,19,1,12,1,3000,1.4
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,10000,14000,12000,2002-03-19,2002,3,19,1,12,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,5000,8000,7000,2002-03-20,2002,3,20,2,12,1,3000,1.4
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,10000,14000,12000,2002-03-20,2002,3,20,2,12,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,4.0,11000,14000,12000,2002-03-21,2002,3,21,3,12,1,3000,1.0909090909090908
Tripura,Sepahijala,Bishalgarh,Beverages,4.0,6000,9000,8000,2002-03-21,2002,3,21,3,12,1,3000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,2.3,6000,10000,8000,2002-03-22,2002,3,22,4,12,1,4000,1.3333333333333333
Tripura,Sepahijala,Bishalgarh,Beverages,2.3,11000,14000,12000,2002-03-22,2002,3,22,4,12,1,3000,1.0909090909090908
Tripura,Sepahijala,Bishalgarh,Beverages,3.5,10000,14000,12000,2002-03-23,2002,3,23,5,12,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.5,6000,9000,7000,2002-03-23,2002,3,23,5,12,1,3000,1.1666666666666667
Tripura,Sepahijala,Bishalgarh,Beverages,3.7,10000,14000,12000,2002-03-26,2002,3,26,1,13,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.7,5000,8000,6000,2002-03-26,2002,3,26,1,13,1,3000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.7,10000,14000,12000,2002-03-27,2002,3,27,2,13,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.7,5000,8000,6000,2002-03-27,2002,3,27,2,13,1,3000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,10000,14000,12000,2002-03-30,2002,3,30,5,13,1,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,5000,9000,8000,2002-03-30,2002,3,30,5,13,1,4000,1.6
Tripura,Sepahijala,Bishalgarh,Beverages,2.0,5000,8000,6000,2002-04-01,2002,4,1,0,14,2,3000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,2.0,11000,16000,14000,2002-04-01,2002,4,1,0,14,2,5000,1.2727272727272727
Tripura,Sepahijala,Bishalgarh,Beverages,3.5,5000,8000,6000,2002-04-02,2002,4,2,1,14,2,3000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,3.5,10000,14000,12000,2002-04-02,2002,4,2,1,14,2,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,0.02,5000,8000,6000,2002-04-03,2002,4,3,2,14,2,3000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,0.02,10000,14000,12000,2002-04-03,2002,4,3,2,14,2,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,0.03,5000,8000,6000,2002-04-04,2002,4,4,3,14,2,3000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,0.03,11000,14000,12000,2002-04-04,2002,4,4,3,14,2,3000,1.0909090909090908
Tripura,Sepahijala,Bishalgarh,Beverages,0.02,5000,8000,6000,2002-04-05,2002,4,5,4,14,2,3000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,0.02,11000,14000,12000,2002-04-05,2002,4,5,4,14,2,3000,1.0909090909090908
Tripura,Sepahijala,Bishalgarh,Beverages,0.02,8000,12000,10000,2002-05-18,2002,5,18,5,20,2,4000,1.25
Tripura,Sepahijala,Bishalgarh,Beverages,0.02,5500,8000,7000,2002-05-18,2002,5,18,5,20,2,2500,1.2727272727272727
Tripura,Sepahijala,Bishalgarh,Beverages,0.02,10000,14000,12000,2002-05-27,2002,5,27,0,22,2,4000,1.2
Tripura,Sepahijala,Bishalgarh,Beverages,0.02,8000,11000,10000,2002-05-27,2002,5,27,0,22,2,3000,1.25
Tripura,Sepahijala,Bishalgarh,Beverages,0.01,10000,14000,12000,2002-05-28,2002,5,28,1,22,2,4000,1.2
